Year,State,Statname,County,City,Company,Namekey,Owner,Ownkey,OWNCODE,MILLCODE,TRADED,DEFSA,SAMAYBE,SAPLUS,VINTAGE,CIACODE2,REGCODE,TRADED2,DEFSA2,SAMAYBE2,SAPLUS2,VINTAGE2,FIRSTAPP,SAREAL,TRADED3,DEFLATOR, TOTVALUE , val1890 , VAL1900 , SPINDLES , WORKERS , LABOR , HILAZA , MANTA , METERS , HILAVAL , MANTAVAL , QUOTA 
1843,21,Pue,Orilla del Rio Atoyac,,Patriotismo Megicano,patriotismo,Sres. Velasco y Co.,Velasco,3556.0,264.0,0,0,1,1,0,4001,6001,0,0,1,1,0,7,0,0,,   ,   ,   ," 6,528 ",   ,   ," 340,704 ",   ,   ,   ,   ,   
1844,21,Puebla,,,Patriotismo,patriotismo,,,3556.0,264.0,0,0,1,1,0,4001,6001,0,0,1,1,0,7,0,0,,   ,   ,   ," 6,528 ",   ,   ,   ,   ,   ,   ,   ,   
1845,21,Puebla,,,Patriotismo,patriotismo,,,3556.0,264.0,0,0,1,1,0,4001,6001,0,0,1,1,0,7,0,0,,   ,   ,   ," 7,248 ",   ,   ,   ," 52,499 "," 1,187,842 ",   ,   ,   
1850,21,Puebla,,,Patriotismo Mexicano,patriotismo,Velasco y C.,Velasco,3556.0,264.0,0,0,1,1,0,4001,6001,0,0,1,1,0,7,0,0,0.972,   ,   ,   ," 8,436 ", 567 , 567 ," 581,400 "," 72,096 "," 1,631,244 ",   ,   ,   
1854,21,Puebla,,Puebla,Concepcion,concepcion,Joaquin de Haro y Tamariz,"Haro, Tamariz",3280.0,97.0,0,0,0,0,0,4001,,0,0,1,1,0,7,0,0,0.946," 48,750 "," 51,533 "," 42,247 "," 1,326 ", 85 , 85 ," 120,000 "," 10,800 "," 244,361 "," 48,750 ",   ,   
1854,21,Puebla,,Atlixco,Patriotismo Mexicano,patriotismo,Andres Vallarino,Vallarino (there is a Velasco & Vallarin),3556.0,264.0,0,0,1,1,0,4001,,0,0,1,1,0,7,0,0,0.946," 552,614 "," 584,159 "," 478,893 "," 8,436 ", 273 , 273 ," 598,000 "," 85,428 "," 1,932,894 "," 242,938 "," 309,677 ",   
1854,21,,,,"Patriotismo, La Concepcion",,,,3280.0,-,0,0,1,1,0,4001,6001,0,0,1,1,0,7,0,0,0.946," 601,364 "," 635,691 "," 521,140 "," 9,762 ", 358 , 358 ," 718,000 "," 96,228 "," 2,177,255 "," 291,688 "," 309,677 ",   
1857,21,Puebla,,Puebla,ConcepciÛn,concepcion,Joaquin de Haro y Tamariz,"Haro, Tamariz",3280.0,97.0,0,0,0,0,0,4001,,0,0,1,1,0,7,0,0,1.063," 48,750 "," 45,874 "," 37,607 "," 1,326 ", 85 , 85 ," 120,000 "," 10,800 "," 244,361 "," 48,750 ",   ,   
1857,21,Puebla,,Atlixco,Patriotismo Mexicano,patriotismo,Sres. Velasco y Cia.,Velasco,3556.0,264.0,0,0,1,1,0,4001,,0,0,1,1,0,7,0,0,1.063," 242,938 "," 228,604 "," 187,410 "," 8,436 ", 273 , 273 ," 598,000 "," 85,248 "," 1,928,821 "," 242,938 ",   ,   
1857,21,,,,"Patriotismo, La Concepcion",,,,3280.0,-,0,0,1,1,0,4001,6001,0,0,1,1,0,7,0,0,1.063," 291,688 "," 274,478 "," 225,017 "," 9,762 ", 358 , 358 ," 718,000 "," 96,048 "," 2,173,182 "," 291,688 ",   ,   
